,Sample Num,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
228,2586.0,-0.02,0.05,0.94,-2.15,4.24,-3.45,29.66
229,2587.0,-0.02,0.04,0.95,-0.09,1.51,-3.51,29.71
230,2588.0,-0.02,0.03,0.95,2.32,-0.09,-1.63,29.61
231,2589.0,-0.02,0.02,0.94,3.76,-1.69,-1.42,29.66
232,2590.0,-0.04,0.02,0.97,5.62,-3.44,-1.08,29.66
233,2591.0,-0.04,0.05,1.0,5.98,-2.72,-0.84,29.61
234,2592.0,-0.03,0.03,0.98,7.65,2.26,1.27,29.71
235,2593.0,-0.04,0.02,0.98,4.99,2.73,-1.1,29.66
236,2594.0,-0.04,0.02,0.98,2.05,0.34,-1.31,29.66
237,2595.0,-0.03,0.06,0.99,1.28,0.72,-2.17,29.71
238,2596.0,-0.03,0.07,0.99,3.05,3.89,-3.91,29.71
239,2597.0,-0.03,0.03,0.97,1.45,5.79,-4.09,29.57
240,2598.0,-0.03,0.02,0.96,-4.29,3.62,-4.44,29.66
241,2599.0,-0.02,0.0,0.95,-6.53,1.44,-3.73,29.61
242,2600.0,-0.02,0.0,0.94,-2.29,-0.46,0.23,29.71
243,2601.0,-0.04,0.01,0.97,7.28,-0.99,6.55,29.71
244,2602.0,-0.05,0.01,0.98,7.89,2.17,5.63,29.66
245,2603.0,-0.03,0.06,0.98,0.78,2.79,5.28,29.61
246,2604.0,-0.02,0.09,0.97,0.18,-0.24,4.37,29.61
247,2605.0,-0.01,0.08,0.95,6.52,1.79,3.24,29.66
248,2606.0,-0.0,0.05,0.93,5.77,4.0,0.63,29.66
249,2607.0,-0.02,0.02,0.93,-0.63,-0.34,-0.53,29.71
250,2608.0,-0.03,0.02,0.95,-2.35,-4.66,2.6,29.71
251,2609.0,-0.03,0.01,0.97,2.52,-2.93,3.71,29.66
252,2610.0,-0.05,0.01,0.98,2.78,-2.38,3.05,29.57
253,2611.0,-0.04,0.08,0.99,-4.23,-3.83,1.25,29.71
254,2612.0,-0.03,0.12,1.01,-6.76,-1.47,0.29,29.61
255,2613.0,-0.03,0.07,0.99,-3.98,3.6,-3.63,29.66
256,2614.0,-0.04,0.05,0.99,-5.56,4.53,-5.98,29.57
257,2615.0,-0.03,0.03,0.96,-5.6,2.46,-3.85,29.71
258,2616.0,-0.03,0.0,0.94,-3.63,0.02,-1.34,29.71
259,2617.0,-0.04,0.01,0.96,-0.93,-2.08,-0.24,29.66
260,2618.0,-0.03,0.02,0.96,0.73,-2.78,5.88,29.61
261,2619.0,-0.04,0.02,0.98,0.14,-2.35,5.91,29.71
262,2620.0,-0.05,0.07,1.01,-1.15,-3.92,2.79,29.66
263,2621.0,-0.04,0.09,1.02,-2.27,-1.02,0.78,29.75
264,2622.0,-0.03,0.1,1.0,-1.48,3.02,0.46,29.61
265,2623.0,-0.02,0.07,0.98,1.71,3.57,-2.0,29.71
266,2624.0,-0.03,0.08,0.98,-0.78,2.87,-5.08,29.66
267,2625.0,-0.01,0.07,0.97,-2.15,2.87,-4.37,29.66
268,2626.0,-0.02,0.07,0.96,-2.95,1.94,-5.04,29.71
269,2627.0,0.03,0.01,0.95,-3.1,1.45,-19.71,29.61
270,2628.0,-0.09,0.15,1.03,-0.76,-2.95,2.96,29.66
271,2629.0,-0.02,0.04,1.01,5.37,3.66,1.65,29.66
272,2630.0,-0.05,0.05,1.01,3.74,6.5,-0.09,29.61
273,2631.0,-0.03,0.03,0.97,1.08,4.08,-3.27,29.71
274,2632.0,-0.03,0.04,0.96,-1.33,4.43,-1.11,29.61
275,2633.0,-0.02,0.0,0.93,1.53,4.23,-0.43,29.75
276,2634.0,-0.03,0.01,0.94,3.13,1.16,4.02,29.71
277,2635.0,-0.03,0.02,0.95,0.93,0.29,2.35,29.61
278,2636.0,-0.03,0.02,0.96,-1.59,1.56,3.39,29.66
279,2637.0,-0.03,0.04,0.96,1.04,0.67,5.79,29.66
280,2638.0,-0.02,0.04,0.95,3.42,0.56,4.37,29.61
281,2639.0,-0.04,0.04,0.97,3.37,-0.52,3.89,29.61
282,2640.0,-0.04,0.05,0.97,1.45,0.08,3.08,29.66
283,2641.0,-0.03,0.05,0.97,-0.63,0.9,2.95,29.57
284,2642.0,-0.01,0.07,0.96,-1.37,-1.6,1.19,29.8
285,2643.0,-0.0,0.1,0.95,0.81,-3.92,3.45,29.61
286,2644.0,0.01,0.11,0.94,3.73,-4.5,0.0,29.66
287,2645.0,-0.01,0.11,0.96,6.56,-4.5,0.66,29.71
288,2646.0,-0.01,0.07,0.95,5.56,-2.37,-3.05,29.71
289,2647.0,-0.03,0.03,0.96,0.63,-2.12,-4.55,29.71
290,2648.0,-0.03,-0.01,0.96,-1.66,-3.65,-3.51,29.75
291,2649.0,-0.04,-0.03,0.97,0.69,-4.98,0.56,29.71
292,2650.0,-0.05,-0.02,0.99,4.93,-4.43,8.18,29.71
293,2651.0,-0.05,-0.01,0.99,3.18,-2.4,9.45,29.66
294,2652.0,-0.05,0.01,0.99,-1.34,-1.4,9.28,29.75
295,2653.0,-0.04,0.02,0.97,-4.52,-1.08,7.15,29.71
296,2654.0,-0.03,0.04,0.96,-2.72,-1.79,7.44,29.61
297,2655.0,-0.03,0.06,0.95,-0.67,-2.76,5.97,29.75
298,2656.0,-0.02,0.07,0.95,0.18,-4.32,4.95,29.66
299,2657.0,-0.03,0.08,0.97,-0.06,-6.43,2.49,29.71
300,2658.0,-0.05,0.08,0.99,0.81,-6.03,1.34,29.61
301,2659.0,-0.05,0.07,1.01,1.47,-3.44,2.69,29.66
302,2660.0,-0.07,0.06,1.02,2.81,-2.23,4.44,29.66
303,2661.0,-0.06,0.05,1.02,2.92,-1.47,2.46,29.71
304,2662.0,-0.07,0.08,1.04,2.21,1.42,1.59,29.71
305,2663.0,-0.04,0.07,0.98,3.47,6.75,5.45,29.71
306,2664.0,-0.02,0.05,0.95,3.47,6.18,3.45,29.66
307,2665.0,-0.02,0.06,0.96,2.24,1.07,0.69,29.71
308,2666.0,-0.02,0.08,0.96,0.14,1.71,-1.34,29.71
309,2667.0,-0.03,0.03,0.95,2.6,1.88,0.27,29.75
310,2668.0,-0.03,0.05,0.96,3.86,-1.44,1.66,29.66
311,2669.0,-0.03,0.04,0.97,5.44,-1.47,1.95,29.61
312,2670.0,-0.03,0.05,0.97,2.23,0.29,0.32,29.61
313,2671.0,-0.02,0.07,0.98,2.78,-0.67,0.69,29.66
314,2672.0,-0.02,0.08,0.99,6.2,-0.52,0.87,29.66
315,2673.0,-0.02,0.07,0.98,4.93,3.94,-2.26,29.61
316,2674.0,-0.03,0.06,0.97,-0.66,5.31,-4.41,29.61
317,2675.0,-0.02,0.01,0.95,-3.76,2.87,-4.14,29.66
318,2676.0,-0.02,0.02,0.95,1.24,-1.22,1.62,29.66
319,2677.0,-0.03,0.02,0.98,12.37,-3.65,4.9,29.61
320,2678.0,-0.04,0.04,0.98,9.22,0.05,2.41,29.71
321,2679.0,-0.04,0.04,1.0,-0.73,3.34,0.21,29.71
322,2680.0,-0.03,0.03,0.97,-7.73,2.81,-2.37,29.66
323,2681.0,-0.01,0.05,0.96,-5.37,2.78,-3.18,29.71
324,2682.0,-0.03,0.06,0.96,2.76,3.51,2.09,29.61
325,2683.0,-0.03,0.03,0.97,8.87,3.92,3.92,29.66
326,2684.0,-0.04,0.01,0.97,3.74,4.34,3.1,29.66
327,2685.0,-0.03,0.05,0.98,-1.47,1.82,4.81,29.61
