,Sample Num,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
143,2966.0,0.32,0.07,0.8,9.22,6.35,1.05,28.77
144,2967.0,0.29,0.06,0.79,36.67,2.78,3.51,28.81
145,2968.0,0.24,0.03,0.78,45.51,-2.61,4.76,28.81
146,2969.0,0.21,-0.01,0.8,43.65,-8.44,1.3,28.81
147,2970.0,0.2,-0.0,0.81,35.59,-7.89,1.95,28.86
148,2971.0,0.22,0.01,0.83,21.69,-4.4,-0.05,28.77
149,2972.0,0.25,0.04,0.87,9.19,-6.44,-1.71,28.81
150,2973.0,0.25,0.07,0.92,-3.27,-8.09,-4.93,28.91
151,2974.0,0.27,0.07,0.93,-11.33,-6.08,-9.51,28.86
152,2975.0,0.23,0.02,0.92,-2.06,-10.23,-6.69,28.86
153,2976.0,0.23,-0.01,0.94,9.56,-12.9,-5.47,28.77
154,2977.0,0.21,0.0,0.97,17.92,-11.24,-3.1,28.81
155,2978.0,0.2,-0.02,0.98,21.73,-8.89,-1.16,28.86
156,2979.0,0.22,-0.04,0.98,21.45,-6.67,4.15,28.77
157,2980.0,0.23,-0.06,0.96,14.99,-4.93,2.85,28.91
158,2981.0,0.23,-0.07,0.97,6.98,-5.76,2.76,28.81
159,2982.0,0.24,-0.05,0.98,0.24,-6.14,2.85,28.95
160,2983.0,0.23,-0.03,0.96,-4.73,-4.31,1.62,28.86
161,2984.0,0.23,0.03,0.99,-10.82,-4.84,-0.58,28.86
162,2985.0,0.24,0.02,1.01,-16.6,-3.57,-4.06,29.0
163,2986.0,0.24,0.01,1.02,-16.95,-1.57,-2.49,28.72
164,2987.0,0.24,-0.02,1.01,-12.41,-1.8,1.82,28.77
165,2988.0,0.26,-0.01,0.98,-5.42,1.21,7.3,28.95
166,2989.0,0.28,-0.01,0.96,-0.03,1.19,7.04,28.81
167,2990.0,0.28,0.03,0.95,4.4,-1.97,8.23,28.91
168,2991.0,0.28,0.04,0.95,4.7,-0.58,6.37,28.86
169,2992.0,0.26,0.06,0.95,3.05,1.19,5.07,28.86
170,2993.0,0.26,0.08,0.93,-1.04,0.4,2.18,28.86
171,2994.0,0.28,0.07,0.9,-3.74,-0.41,2.61,28.81
